"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","product_states","product_transitions","product_scc","automaton"
"(G((a) | (X(a)))) R (X(b))","cd.seminator.no","ok",0,0.0205846,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","cd.cy.yes","ok",0,0.0153787,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.nba2ldba.yes","ok",0,0.33352,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.ltl2ldba.no","ok",0,0.767659,7,19,29,1,6,2,1,0,1199,17493,402,"HOA: v1 States: 7 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [!0] 4 [0] 1 [0] 4 [!0] 5 [!0] 6 [0] 6 State: 1 [!0&1] 2 [0&1] 3 State: 2 {0} [0] 3 State: 3 {0} [!0] 2 [0] 3 State: 4 [!0&1] 4 [0&1] 1 [0&1] 4 [!0&1] 5 [!0&1] 6 [0&1] 6 State: 5 {0} [0&1] 3 State: 6 {0} [1] 6 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.seminator.yes","ok",0,0.0187552,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.seminator.no","ok",0,0.0246473,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","cd.seminator.yes","ok",0,0.0221573,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","cd.ltl2ldba.yes","ok",0,0.70446,14,41,57,1,10,5,1,0,2404,43265,813,"HOA: v1 States: 14 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [0] 1 [!0] 4 [!0] 8 [!0] 9 State: 1 [!0&1] 2 [0&1] 3 [1] 4 [!0&1] 5 [!0&1] 6 [0&1] 7 State: 2 [0&1] 3 [1] 4 [0] 7 [!0&1] 8 [!0&1] 9 State: 3 [!0&1] 2 [0&1] 3 [1] 4 [!0&1] 5 [!0&1] 6 [0] 7 [!0&!1] 10 State: 4 {0} [1] 4 State: 5 [0] 7 [!0&1] 11 State: 6 [0] 12 [!0&1] 13 State: 7 {0} [0] 7 [!0] 10 State: 8 [0&1] 3 [1] 4 [0&1] 7 [!0&1] 8 [!0&1] 9 State: 9 [0&1] 7 [!0&1] 11 State: 10 {0} [0] 7 State: 11 [0&1] 7 State: 12 {0} [0&1] 12 [!0&1] 13 State: 13 {0} [0&1] 12 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.cy.no","ok",0,0.0126172,7,16,21,1,4,0,0,0,1009,15295,14,"HOA: v1 States: 7 Start: 2 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc deterministic weak --BODY-- State: 0 {0} [0] 4 State: 1 {0} [0&1] 3 [0&!1] 4 [!0&1] 5 State: 2 [!0] 5 [0] 6 State: 3 {0} [!0&!1] 0 [!0&1] 1 [0&1] 3 [0&!1] 4 State: 4 {0} [!0] 0 [0] 4 State: 5 {0} [0&1] 3 [!0&1] 5 State: 6 [!0&1] 1 [0&1] 3 --END--"
"(G((a) | (X(a)))) R (X(b))","sd.ltl2ldba.yes","ok",0,0.981599,7,14,27,1,6,2,1,0,1199,15426,402,"HOA: v1 States: 7 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc --BODY-- State: 0 [0] 1 [t] 4 [!0] 5 [t] 6 State: 1 [!0&1] 2 [0&1] 3 State: 2 {0} [0] 3 State: 3 {0} [!0] 2 [0] 3 State: 4 [0&1] 1 [1] 4 [!0&1] 5 State: 5 [0&1] 3 State: 6 {0} [1] 6 --END--"
